rank,feature,avg_importance
201,interact_vol20_volratio20,22.58
202,interact_ma5_vol5,22.35
203,price_bb60_pos,21.93
204,price_rsi_24,21.71
205,cs_rank_price_cci,21.69
206,cs_rank_price_kdj_j,21.57
207,price_logret_5,21.47
208,price_ma5_ratio,21.46
209,fund_mv_rank,21.46
210,interact_ret5_vol5,21.37
211,vol_obv_chg,21.34
212,price_macd_hist_chg,20.90
213,price_ret_60,20.81
214,interact_ret20_vol20,20.73
215,price_ret_20,20.71
216,price_ma20_slope,20.71
217,mi_regime_x_ret,20.46
218,mom_decay_5_20,20.46
219,price_bb20_pos,20.36
220,price_ma10_ratio,20.35
221,mom_range_20,20.34
222,price_bb30_pos,20.25
223,price_ret_10,20.24
224,cs_rank_vol_ratio_20,20.01
225,pat_gap,19.78
226,price_pos_10,19.57
227,price_ret_5,19.46
228,price_logret_10,19.46
229,mkt_north_dir_streak,18.43
230,price_kdj_j,18.12
231,price_skew_20,17.67
232,cs_rank_price_rsi_14,17.23
233,price_ret_3,17.01
234,interact_rsi14_ret5,16.80
235,sent_vol_ratio,16.78
236,price_kurt_20,16.00
237,sent_consecutive_limit,15.71
238,price_rsi_6,15.57
239,price_logret_3,15.56
240,interact_gap_vol5,15.56
241,pat_upper_shadow,15.34
242,vol_ratio_10,15.00
243,vol_ratio_20,14.56
244,mi_cny_x_north,14.52
245,sent_is_limit_down,14.16
246,sent_limit_down,13.82
247,interact_ma20_vol20,13.81
248,vol_ratio_30,12.79
249,sent_consecutive_limit_up,12.49
250,interact_bb20_vol5,12.47
251,sent_vol_ratio_20,11.67
252,vol_ratio_5,11.56
253,pat_body_ratio,11.00
254,mkt_breadth,10.71
255,vol_chg_5,10.67
256,vol_chg,10.22
257,sent_is_limit_up,8.94
258,sent_limit_up,7.94
259,mi_liquidity_x_vol,7.67
260,macro_market_regime,6.37
261,macro_hs300_vol_high,4.03
262,macro_hs300_above_ma20,3.70
263,pat_down_streak_10,3.56
264,macro_mkt_active,3.47
265,pat_up_streak_10,3.45
266,mkt_contra_up,3.13
267,macro_spread_narrowing,2.58
268,pat_down_streak_5,2.45
269,pat_up_streak_5,2.45
270,sent_limit_any,2.26
271,vol_price_conf,2.22
272,vol_price_div,2.00
273,fund_low_debt,1.90
274,price_above_ma250,1.80
275,macro_hs300_above_ma60,1.79
276,fund_rev_accel,1.45
277,macro_hs300_above_ma200,1.25
278,pat_up_streak_3,1.11
279,price_above_ma200,1.02
280,fund_roe_high,1.01
281,pat_down_streak_3,1.00
282,mkt_sector_strong,0.91
283,macro_cny_depreciate,0.91
284,mkt_north_dir,0.80
285,macro_yield_trend,0.79
286,macro_cny_appreciate,0.79
287,price_above_ma10,0.56
288,price_above_ma5,0.45
289,macro_spread_negative,0.35
290,macro_liquidity_tight,0.34
291,pat_gap_up,0.33
292,price_above_ma120,0.25
293,price_above_ma100,0.23
294,pat_gap_down,0.22
295,price_above_ma80,0.12
296,price_above_ma60,0.12
297,price_above_ma20,0.11
298,price_breakout_60,0.11
299,mkt_contra_down,0.11
300,pat_outside,0.11
301,price_above_ma30,0.01
302,pat_doji,0.00
303,price_breakout_20,0.00
304,fund_roe_chg,0.00
305,fund_np_accel,0.00
306,pat_inside,0.00
307,macro_cny_cnh_spread_wide,0.00
308,sent_lhb_flag,0.00
309,sent_lhb_ret_5d,0.00
310,sent_margin_chg,0.00
311,sent_margin_cum3,0.00
312,sent_short_balance,0.00
