date,open,high,low,close,volume
2025-03-27 14:30:00,83.470,83.630,82.800,82.920,2911100
2025-03-27 15:00:00,82.910,83.120,82.760,83.030,4734712
2025-03-28 10:00:00,83.010,85.080,82.660,84.500,8987400
2025-03-28 10:30:00,84.500,85.180,83.880,84.170,4239138
2025-03-28 11:00:00,84.160,84.180,83.180,83.220,2674700
2025-03-28 11:30:00,83.210,83.520,82.710,83.220,2915600
2025-03-28 13:30:00,83.170,83.290,82.830,82.920,1550600
2025-03-28 14:00:00,82.910,83.130,82.660,83.120,2467700
2025-03-28 14:30:00,83.130,83.560,82.900,83.120,1639400
2025-03-28 15:00:00,83.120,83.170,82.590,82.960,3308500
2025-03-31 10:00:00,82.960,83.430,81.210,82.230,8828812
2025-03-31 10:30:00,82.210,82.280,79.450,79.880,9972739
2025-03-31 11:00:00,79.890,80.150,79.200,79.580,3801900
2025-03-31 11:30:00,79.580,80.000,79.290,79.480,2316700
2025-03-31 13:30:00,79.430,80.780,79.320,80.110,3000400
2025-03-31 14:00:00,80.120,80.480,79.900,80.450,1987000
2025-03-31 14:30:00,80.480,81.400,80.110,81.000,3226500
2025-03-31 15:00:00,80.980,81.560,80.760,81.010,4467051
2025-04-01 10:00:00,81.900,81.990,79.600,79.600,8222700
2025-04-01 10:30:00,79.610,80.990,79.450,80.930,3975800
2025-04-01 11:00:00,80.830,81.720,80.660,81.000,4170265
2025-04-01 11:30:00,81.000,81.000,80.060,80.170,2548735
2025-04-01 13:30:00,80.170,80.270,79.450,79.500,3332200
2025-04-01 14:00:00,79.480,79.540,79.180,79.310,2500665
2025-04-01 14:30:00,79.290,79.460,78.930,79.190,2783000
2025-04-01 15:00:00,79.190,79.340,78.880,79.120,3796536
2025-04-02 10:00:00,80.800,81.790,80.010,80.900,11677772
2025-04-02 10:30:00,80.920,82.260,80.790,81.180,7243425
2025-04-02 11:00:00,81.200,81.680,80.820,81.550,2354500
2025-04-02 11:30:00,81.550,81.730,81.090,81.140,923000
2025-04-02 13:30:00,81.130,81.140,80.300,80.410,1836000
2025-04-02 14:00:00,80.410,80.850,80.260,80.630,1363750
2025-04-02 14:30:00,80.670,80.860,80.450,80.490,1055000
2025-04-02 15:00:00,80.490,80.820,80.440,80.680,2563921
2025-04-03 10:00:00,77.200,78.060,75.870,76.590,16444545
2025-04-03 10:30:00,76.570,76.890,74.440,75.170,11722615
2025-04-03 11:00:00,75.160,75.450,73.830,73.840,7291400
2025-04-03 11:30:00,73.840,74.080,73.010,73.710,5017144
2025-04-03 13:30:00,73.710,73.790,72.660,72.960,4201150
2025-04-03 14:00:00,72.960,73.310,72.810,72.960,3026000
2025-04-03 14:30:00,72.960,73.740,72.880,73.300,2840179
2025-04-03 15:00:00,73.310,73.680,72.920,73.000,6114890
2025-04-07 10:00:00,64.260,65.700,59.600,61.400,28566097
2025-04-07 10:30:00,61.330,63.150,60.980,62.960,7095614
