date,open,high,low,close,volume
2025-03-14 14:30:00,204.090,204.780,203.850,204.600,885485
2025-03-14 15:00:00,204.520,204.860,203.750,204.310,1091640
2025-03-17 10:00:00,203.100,203.700,201.010,202.620,1340045
2025-03-17 10:30:00,202.590,203.460,201.870,202.370,541390
2025-03-17 11:00:00,202.360,202.670,201.510,202.110,366059
2025-03-17 11:30:00,202.040,202.090,200.390,200.690,646761
2025-03-17 13:30:00,200.690,200.860,200.010,200.050,582932
2025-03-17 14:00:00,200.110,200.780,200.000,200.160,497028
2025-03-17 14:30:00,200.120,200.310,199.330,199.470,857061
2025-03-17 15:00:00,199.470,200.050,199.100,199.700,796515
2025-03-18 10:00:00,201.700,204.000,200.480,203.990,1757587
2025-03-18 10:30:00,203.950,204.400,202.860,204.010,1033474
2025-03-18 11:00:00,204.010,204.540,203.800,204.160,533822
2025-03-18 11:30:00,204.060,204.130,203.200,203.730,416534
2025-03-18 13:30:00,203.700,204.410,203.420,204.070,529494
2025-03-18 14:00:00,204.020,204.300,203.360,203.360,428153
2025-03-18 14:30:00,203.400,204.110,203.010,203.790,556695
2025-03-18 15:00:00,203.770,204.280,203.670,204.000,713752
2025-03-19 10:00:00,202.850,203.750,201.330,201.500,899578
2025-03-19 10:30:00,201.510,201.870,200.530,201.220,623167
2025-03-19 11:00:00,201.220,202.200,201.100,201.770,281802
2025-03-19 11:30:00,201.790,201.900,200.670,201.000,438779
2025-03-19 13:30:00,201.000,201.820,200.300,200.560,440317
2025-03-19 14:00:00,200.700,200.960,199.660,199.880,521185
2025-03-19 14:30:00,199.780,199.850,198.380,198.770,872171
2025-03-19 15:00:00,198.800,199.250,198.580,198.600,843786
2025-03-20 10:00:00,198.600,201.060,194.010,195.990,2293175
2025-03-20 10:30:00,195.990,196.550,195.230,195.550,519652
2025-03-20 11:00:00,195.550,196.740,195.490,196.730,318112
2025-03-20 11:30:00,196.720,196.980,195.600,196.220,319105
2025-03-20 13:30:00,196.220,196.310,195.010,195.020,546175
2025-03-20 14:00:00,195.010,195.740,194.600,194.760,556071
2025-03-20 14:30:00,194.760,195.350,193.880,194.000,799166
2025-03-20 15:00:00,193.930,194.630,193.500,193.700,873030
2025-03-21 10:00:00,193.200,196.200,192.780,194.850,1424491
2025-03-21 10:30:00,194.850,195.290,193.500,193.600,632810
2025-03-21 11:00:00,193.510,194.310,192.600,192.740,539747
2025-03-21 11:30:00,192.700,193.240,191.130,191.160,841364
