symbol,name,mse,mae,r2,direction_accuracy,current_price,predicted_return,predicted_price
000001.SZ,平安银行,0.0003528849182481842,0.015368911116574506,-0.5431653160947796,0.4431818181818182,10.96,0.003152031262415108,10.99454626263607
000002.SZ,万科A,0.0034714014793665398,0.04097883158560573,-1.0677276363889043,0.5568181818181818,5.13,0.0025861690722392785,5.143267047340587
000063.SZ,中兴通讯,0.007640647164217528,0.06966041273762567,-0.4203179279616416,0.3977272727272727,39.51,0.003438384001078242,39.6458505518826
000333.SZ,美的集团,0.0006486840417395506,0.019941522751383632,-0.5763096777810024,0.45454545454545453,77.88,0.010748820581318472,78.71711814687308
000651.SZ,格力电器,0.000609188572812831,0.02064188139764039,-1.5040144318561204,0.4318181818181818,38.88,0.020313381851926986,39.66978428640292
000858.SZ,五粮液,0.0006919686190500128,0.020603238736681736,-0.7886538623034054,0.5227272727272727,110.77,-0.013308746483664067,109.29579015200453
002415.SZ,海康威视,0.0016253044307192952,0.03183212576291381,-0.5209010821575202,0.3977272727272727,32.2,-0.015548565284948693,31.699336197824653
002594.SZ,比亚迪,0.001326377646121591,0.02931454546626985,-0.8292515178780604,0.48863636363636365,92.31,0.01564119463884101,93.75383867711142
300750.SZ,宁德时代,0.002724122463902911,0.03864274286950367,-0.3694141625586691,0.6022727272727273,341.89,-0.015788833685707097,336.4919556511936
600000.SH,浦发银行,0.0032456336782273267,0.04607608271584232,-0.5758712256619594,0.45454545454545453,10.15,-0.0030234553355251996,10.11931192834442
600036.SH,招商银行,0.0008066597793107643,0.022259733023415045,-0.6615656022672514,0.5568181818181818,38.53,0.018261592605318722,39.23361916308293
600276.SH,恒瑞医药,0.0020298976737440784,0.03596409596730298,-0.7767939752236743,0.4431818181818182,58.11,-0.014090973625444377,57.29117352262542
600519.SH,贵州茅台,0.0006719898405825927,0.02119597920181735,-0.810643875612383,0.4431818181818182,1437.72,-0.01740349845052528,1412.698642207711
600887.SH,伊利股份,0.0006898368467278076,0.022266794579005454,-0.5055002787048495,0.4659090909090909,26.83,0.061274901052620616,28.47400559524181
601318.SH,中国平安,0.0017792289598347092,0.031178938778123874,-0.34066835862436706,0.625,68.0,0.018105092596274276,69.23114629654665
601398.SH,工商银行,0.0007098639200200026,0.020842718943234268,-0.3781022251792958,0.4659090909090909,7.26,0.017042010743549628,7.38372499799817
601888.SH,中国中免,0.004773291919857949,0.05042254069961043,-0.237995752057792,0.4772727272727273,92.3,-0.022466934292963325,90.22630196475949
600030.SH,中信证券,0.0028243827270114565,0.03181979695688622,-3.5685470369311147,0.5340909090909091,28.56,-0.038976126866072734,27.44684181670496
600050.SH,中国联通,0.0011241068977451965,0.022616957064765342,-1.4112508714967982,0.5227272727272727,5.15,0.030783399349130727,5.308534506648023
601166.SH,兴业银行,0.001112477250464731,0.02714368981962796,-0.5792079887493771,0.5113636363636364,18.89,0.010311839089511143,19.08479064040087
